id,region_id,nivel_id,tipo,numero,clave,estatus,nomenclatura_id,sede,direccion,cp,ciudad,estado,fecha_inicio,fecha_fin
141,11,35,ACTIVO,28,D-I-28,ACTIVA,1,JESUS CARRANZA,HIDALGO SUR 23-B,96150,SAYULA DE ALEMSN,VERACRUZ,15/02/2023,15/02/2026
142,11,35,ACTIVO,2,D-I-02,ACTIVA,1,ACAYUCAN,AV.MIGUEL HIDALGO 1710      BARRIO LA PALMA,96056,ACAYUCAN,VERACRUZ,15/02/2023,15/02/2026
143,3,39,ACTIVO,25,D-II-25,ACTIVA,2,ESPINAL,ESPINAL S/N,93180,ESPINAL,VERACRUZ,28/03/2025,18/03/2026
144,11,27,ACTIVO,31,D-I-31,ACTIVA,1,MINATITLAN,COLONIA CUALIPAN,96710,MINATITLAN,VERACRUZ,14/02/2023,14/02/2026
145,11,35,ACTIVO,17,D-I-17,ACTIVA,1,COSOLEACAQUE,QUETZALCOATL # 2 CONJUNTO HABITACIONAL CUALIPAN,96734,MINATITLAN,VERACRUZ,15/02/2023,15/02/2026
146,3,35,ACTIVO,26,D-I-26,ACTIVA,1,IXHUATLAN DE MADERO,16 DE SEPTIEMBRE S/N BARRIO POCHOCO,92680,IXHUATLAN DE MADERO,VERACRUZ,08/02/2023,08/02/2026
147,1,32,ACTIVO,1,D-II-01,ACTIVA,2,ACECECA,CARRETERA PLATÓN SANCHEZ SIN NÚMERO,0,TANTOYUCA,VERACRUZ,15/02/2023,15/02/2026
148,3,40,ACTIVO,54,D-II-54,ACTIVA,2,ALAMO,"FELIPE ÁNGELES, COLONIA AVIACIóN",92730,ÁLAMO TEMAPACHE,VERACRUZ,12/02/2024,02/03/2026
149,11,35,ACTIVO,1,D-I-01,ACTIVA,1,ACAYUCAN,RAMÓN CORONA,96290,JÁLTIPAN,VERACRUZ,13/02/2023,13/02/2026
150,3,34,ACTIVO,83,D-I-83,ACTIVA,1,POZA RICA,NARCISO MENDOZA  COL TAJIN,93310,POZA RICA DE HGO VERACRUZ,VERACRUZ,09/02/2023,09/02/2026
151,7,19,ACTIVO,21,D-III-21,ACTIVA,3,HUATUSCO,ESCUELA PRIMARIA MATUTINA NICOLÁS BRAVO. CALLE GRAL. NICOLÁS BRAVO # 41. COLONIA CENTRO.,94100,COSCOMATEPEC,VERACRUZ,15/02/2023,15/02/2026
152,7,35,ACTIVO,22,D-I-22,ACTIVA,1,FORTIN,PRIVADA 2A NORTE DEL CENTRO DE FORTIN,0,FORTIN,VERACRUZ,08/02/2023,08/02/2023
153,11,18,ACTIVO,86,D-I-86,ACTIVA,1,ACAYUCAN,SIN DIRECCION,96010,ACAYUCAN,VERACRUZ,16/02/2023,16/02/2026
154,3,35,ACTIVO,69,D-I-69,ACTIVA,1,TIHUATLAN,MAESTROS VERACRUZANOS S/N COL. MAGISTERIAL,92900,TIHUATLAN,VERACRUZ,07/02/2023,09/02/2026
155,7,35,ACTIVO,16,D-I-16,ACTIVA,1,COSCOMATEPEC,CALLE REFORMA S/N ( 1RA. PRIVADA ),94140,COSCOMATEPEC,VERACRUZ,07/02/2023,07/02/2026
156,3,39,ACTIVO,47,D-II-47,ACTIVA,2,PAPANTLA,SALIDA A LA CONCHA # 309. COLONIA 10 DE ABRIL.,93429,PAPANTLA,VERACRUZ,08/02/2023,08/02/2026
157,3,19,ACTIVO,12,D-III-12,ACTIVA,3,POZA RICA,"LAS FLORES 124, COLONIA SANTA EMILIA",93210,POZA RICA DE HIDALGO,VERACRUZ,14/02/2023,14/02/2026
158,11,39,ACTIVO,44,D-II-44,ACTIVA,2,ACAYUCAN,ESFUERZO 8,96250,JALTIPAN,VERACRUZ,14/02/2023,13/02/2026
159,11,40,ACTIVO,52,D-II-52,ACTIVA,2,COATZACOALCOS,5 DE FEBRERO #67 COLONIA SANTA CLARA,96730,MINATITLAN,VERACRUZ,15/02/2023,15/02/2026
160,11,36,ACTIVO,23,D-II-23,ACTIVA,2,COATZACOALCOS,AND. KUMIAI 6. COL. FOVISSSTE 2,96537,COATZACOALCOS,VERACRUZ,15/02/2023,15/02/2026
161,3,35,ACTIVO,24,D-I-24,ACTIVA,1,HUAYACOCOTLA,CALLE CAMPO DEPORTIVO LAZARO CÁRDENAS,92600,HUAYACOCOTLA,VERACRUZ,09/02/2023,09/02/2026
162,3,35,ACTIVO,40,D-I-40,ACTIVA,1,PAPANTLA,SALVADOR DÍAZ MIRÓN CON CALLE CARRIL,93400,PAPANTLA,VERACRUZ,07/02/2023,07/02/2026
163,3,35,ACTIVO,21,D-I-21,ACTIVA,1,ESPINAL,CALLE PROGRESO S/N COLONIA CENTRO,93180,ESPINAL,VERACRUZ,07/02/2023,07/02/2026
164,3,34,ACTIVO,85,D-I-85,ACTIVA,1,PAPANTLA,SALVADOR DÍAZ MIRÓN ESQUINA CARRIL,93400,PAPANTLA,VERACRUZ,09/02/2023,09/02/2026
165,3,35,ACTIVO,46,D-I-46,ACTIVA,1,POZA RICA,NARCISO MENDOZA 112 COLONIA TAJIN,93330,POZA RICA,VERACRUZ,14/02/2023,14/02/2026
166,3,35,ACTIVO,67,D-I-67,ACTIVA,1,GUTIERREZ ZAMORA,"CALLE ABASOLO  #44, COL. CENTRO",93556,GUTIÉRREZ ZAMORA,VERACRUZ,09/02/2023,09/02/2026
167,11,27,ACTIVO,12,D-I-12,ACTIVA,1,COATZACOALCOS,JUAN ALVAREZ MOD. O DPTO. 102 PLAYA SOL,96518,COATZACOALCOS VERACRUZ,VERACRUZ,17/02/2023,17/02/2026
168,3,40,ACTIVO,41,D-II-41,ACTIVA,2,POZA RICA,NARCISO MENDOZA #112 COL. TAJIN,93330,POZA RICA DE HIDALGO,VERACRUZ,07/02/2023,07/02/2026
169,3,39,ACTIVO,19,D-II-19,ACTIVA,2,ALAMO,CALLE TALLERES COLONIA TALLERES,92730,ÁLAMO TEMAPACHE,VERACRUZ,07/02/2023,07/02/2026
170,11,35,ACTIVO,49,D-I-49,ACTIVA,1,SAYULA DE ALEMAN,HIDALGO NORTE S/N,96150,SAYULA DE ALEMAN,VERACRUZ,14/02/2023,14/02/2026
171,11,34,ACTIVO,59,D-I-59,ACTIVA,1,ACAYUCAN,PROLONGACION LERDO #109 INTERIOR ENTRE LAS FLORES Y VAZQUEZ GOMEZ COL. VILLALTA,9026,ACAYUCAN,VERACRUZ,17/02/2023,17/02/2026
172,11,39,ACTIVO,45,D-II-45,ACTIVA,2,COATZACOALCOS,CUAUHTÉMOC 608,96400,COATZACOALCOS,VERACRUZ,15/02/2023,15/02/2026
173,11,19,ACTIVO,22,D-III-22,ACTIVA,3,COATZACOALCOS,LUCAS ALAMAN 1000-4 COL. BENITO JUAREZ NORTE,96576,COATZACOALCOS,VERACRUZ,17/02/2023,17/02/2026
174,11,30,ACTIVO,32,D-I-32,ACTIVA,1,MINATITLAN,QUETZALCOATL #2,96729,CUALIPAN,VERACRUZ,14/02/2023,14/02/2026
175,1,35,ACTIVO,18,D-I-18,ACTIVA,1,CHICONTEPEC,LIBERTAD S/N,92700,CHICONTEPEC,VERACRUZ,15/02/2023,15/02/2026
176,3,39,ACTIVO,57,D-II-57,ACTIVA,2,HUAYACOCOTLA,CALLE LAZARO CARDENAS A UN LADO DEL DEPORTIVO,92600,"HUAYACOCOTLA,VER.",VERACRUZ,09/02/2023,09/02/2026
177,7,35,ACTIVO,76,D-I-76,ACTIVA,1,TOTUTLA,AV. VENUSTIANO CARRANZA,94050,TOTUTLA,VERACRUZ,07/02/2023,09/02/2026
178,7,35,ACTIVO,42,D-I-42,ACTIVA,1,PASO DEL MACHO,"AV. PASO DEL MACHO S/N,  FRACCIONAMIENTO MORENO",94970,PASO DEL MACHO,VERACRUZ,08/02/2023,08/02/2026
179,9,35,ACTIVO,15,D-I-15,ACTIVA,1,COSAMALOAPAN,"NICOLAS BRAVO NUMERO 1002, ENTRE DEMETRIO CAZARIN Y LAS CONCHAS, COLONIA CENTRO",95400,COSAMALOAPAN,VERACRUZ,10/02/2023,10/02/2025
180,9,19,ACTIVO,2,D-III-02,ACTIVA,3,TIERRA BLANCA,MORELOS ESQUINA AGRARISTA COLONIA HOJA DE MAÍZ,95110,TIERRA BLANCA,VERACRUZ,17/02/2023,17/02/2026
181,2,29,JUBILADO,12,D-IV-12,ACTIVA,4,NARANJOS,"BENITO JUÁREZ 855, COL. PROGRESO",92380,NARANJOS,VERACRUZ,13/02/2023,13/02/2025
182,11,29,JUBILADO,25,D-IV-25,ACTIVA,4,MINATITLAN,"QUETZALCÓATL #2, UH. CUALIPAN, COL. NUEVA MINA",96760,MINATITLAN,VERACRUZ,17/02/2023,17/02/2026
